CIDR,Quantity,Network,City
1.2.2.0/24,256,联通,北京市
1.2.4.0/24,256,XX,北京市
1.2.5.0/24,256,电信,北京市
1.2.8.0/24,256,联通,北京市
1.4.4.0/24,256,XX,北京市
1.8.0.0/20,4096,XX,北京市
1.8.16.0/23,512,XX,北京市
1.8.18.0/24,256,科技网,北京市
1.8.19.0/24,256,XX,北京市
1.8.20.0/22,1024,XX,北京市
1.8.24.0/21,2048,XX,北京市
1.8.32.0/19,8192,XX,北京市
1.8.64.0/19,8192,XX,北京市
1.8.96.0/22,1024,XX,北京市
1.8.100.0/24,256,XX,北京市
1.8.101.0/24,256,科技网,北京市
1.8.112.0/20,4096,XX,北京市
1.8.128.0/20,4096,XX,北京市
1.8.144.0/22,1024,XX,北京市
1.8.148.0/23,512,XX,北京市
1.8.152.0/21,2048,XX,北京市
1.8.160.0/19,8192,XX,北京市
1.8.192.0/19,8192,XX,北京市
1.8.224.0/21,2048,XX,北京市
1.8.232.0/22,1024,XX,北京市
1.8.236.0/23,512,XX,北京市
1.8.238.0/23,512,科技网,北京市
1.8.240.0/20,4096,XX,北京市
1.12.0.0/16,65536,方正宽带,北京市
1.13.96.0/19,8192,方正宽带,北京市
1.14.128.0/18,16384,方正宽带,北京市
1.14.224.0/19,8192,方正宽带,北京市
1.15.0.0/17,32768,方正宽带,北京市
1.15.128.0/18,16384,方正宽带,北京市
1.15.192.0/20,4096,方正宽带,北京市
1.15.224.0/19,8192,方正宽带,北京市
1.45.0.0/16,65536,联通,北京市
1.88.0.0/14,262144,歌华,北京市
1.92.0.0/14,262144,鹏博士,北京市
1.116.0.0/15,131072,XX,北京市
1.119.0.0/16,65536,皓宽网络,北京市
1.202.0.0/15,131072,电信,北京市
14.102.180.0/22,1024,联通,北京市
14.130.0.0/15,131072,鹏博士,北京市
14.192.60.0/22,1024,电信,北京市
14.197.148.0/23,512,鹏博士,北京市
14.197.177.0/24,256,鹏博士,北京市
14.197.178.0/24,256,鹏博士,北京市
14.197.180.0/22,1024,鹏博士,北京市
14.197.184.0/22,1024,鹏博士,北京市
14.197.196.0/22,1024,鹏博士,北京市
14.197.200.0/21,2048,鹏博士,北京市
14.197.208.0/20,4096,鹏博士,北京市
14.197.224.0/20,4096,鹏博士,北京市
14.197.243.0/24,256,鹏博士,北京市
14.197.245.0/24,256,鹏博士,北京市
14.197.247.0/24,256,鹏博士,北京市
14.197.248.0/21,2048,鹏博士,北京市
27.0.160.0/21,2048,电信,北京市
27.98.208.0/20,4096,电信,北京市
27.99.128.0/17,32768,XX,北京市
27.106.204.0/22,1024,联通,北京市
27.109.32.0/19,8192,XX,北京市
27.112.80.0/20,4096,联通,北京市
27.112.112.0/21,2048,教育网,北京市
27.116.44.0/22,1024,XX,北京市
27.131.220.0/22,1024,联通,北京市
36.0.64.0/18,16384,XX,北京市
36.0.128.0/17,32768,XX,北京市
36.51.0.0/17,32768,联通,北京市
36.51.128.0/18,16384,联通,北京市
36.51.192.0/19,8192,联通,北京市
36.51.224.0/20,4096,联通,北京市
36.51.240.0/21,2048,联通,北京市
36.51.248.0/23,512,联通,北京市
36.51.250.0/24,256,联通,北京市
36.51.251.0/24,256,电信,北京市
36.51.252.0/23,512,联通,北京市
36.110.0.0/16,65536,电信,北京市
36.111.80.0/21,2048,电信,北京市
36.111.88.0/24,256,电信,北京市
36.112.0.0/16,65536,电信,北京市
36.192.0.0/21,2048,铁通,北京市
36.192.8.0/24,256,铁通,北京市
36.193.137.0/24,256,铁通,北京市
36.193.138.0/23,512,铁通,北京市
36.193.140.0/22,1024,铁通,北京市
36.193.144.0/20,4096,铁通,北京市
36.193.160.0/19,8192,铁通,北京市
36.193.192.0/18,16384,铁通,北京市
36.194.0.0/15,131072,铁通,北京市
36.196.0.0/14,262144,铁通,北京市
36.200.0.0/13,524288,铁通,北京市
36.208.0.0/12,1048576,铁通,北京市
36.254.0.0/16,65536,科技网,北京市
39.96.0.0/18,16384,阿里云,北京市
39.96.64.0/19,8192,阿里云,北京市
39.96.96.0/20,4096,阿里云,北京市
39.96.112.0/22,1024,阿里云,北京市
39.96.116.0/23,512,阿里云,北京市
39.96.118.0/23,512,阿里巴巴,北京市
39.96.120.0/21,2048,阿里云,北京市
39.96.128.0/22,1024,阿里云,北京市
39.96.132.0/23,512,阿里云,北京市
39.96.134.0/24,256,阿里云,北京市
39.96.135.0/24,256,阿里巴巴,北京市
39.96.136.0/21,2048,阿里云,北京市
39.96.144.0/22,1024,阿里云,北京市
39.96.148.0/23,512,阿里云,北京市
39.96.150.0/24,256,阿里云,北京市
39.96.151.0/24,256,阿里巴巴,北京市
39.96.152.0/22,1024,阿里巴巴,北京市
39.96.156.0/22,1024,阿里云,北京市
39.96.160.0/19,8192,阿里云,北京市
39.96.192.0/19,8192,阿里云,北京市
39.96.224.0/24,256,阿里巴巴,北京市
39.96.225.0/24,256,阿里云,北京市
39.96.226.0/23,512,阿里巴巴,北京市
39.96.228.0/22,1024,阿里巴巴,北京市
39.96.232.0/22,1024,阿里巴巴,北京市
39.96.236.0/23,512,阿里巴巴,北京市
39.96.238.0/23,512,阿里云,北京市
39.96.240.0/24,256,阿里巴巴,北京市
39.96.241.0/24,256,阿里云,北京市
39.96.242.0/23,512,阿里云,北京市
