代码,区划名称,区划全称,级别
110000,北京市,北京市,省级
120000,天津市,天津市,省级
130000,河北省,河北省,省级
130100,石家庄市,河北省石家庄市,市级
130200,唐山市,河北省唐山市,市级
130300,秦皇岛市,河北省秦皇岛市,市级
130400,邯郸市,河北省邯郸市,市级
130500,邢台市,河北省邢台市,市级
130600,保定市,河北省保定市,市级
130700,张家口市,河北省张家口市,市级
130800,承德市,河北省承德市,市级
130900,沧州市,河北省沧州市,市级
131000,廊坊市,河北省廊坊市,市级
131100,衡水市,河北省衡水市,市级
140000,山西省,山西省,省级
140100,太原市,山西省太原市,市级
140200,大同市,山西省大同市,市级
140300,阳泉市,山西省阳泉市,市级
140400,长治市,山西省长治市,市级
140500,晋城市,山西省晋城市,市级
140600,朔州市,山西省朔州市,市级
140700,晋中市,山西省晋中市,市级
140800,运城市,山西省运城市,市级
140900,忻州市,山西省忻州市,市级
141000,临汾市,山西省临汾市,市级
141100,吕梁市,山西省吕梁市,市级
150000,内蒙古自治区,内蒙古,省级
150100,呼和浩特市,内蒙古呼和浩特市,市级
150200,包头市,内蒙古包头市,市级
150300,乌海市,内蒙古乌海市,市级
150400,赤峰市,内蒙古赤峰市,市级
150500,通辽市,内蒙古通辽市,市级
150600,鄂尔多斯市,内蒙古鄂尔多斯市,市级
150700,呼伦贝尔市,内蒙古呼伦贝尔市,市级
150800,巴彦淖尔市,内蒙古巴彦淖尔市,市级
150900,乌兰察布市,内蒙古乌兰察布市,市级
152200,兴安盟,内蒙古兴安盟,市级
152500,锡林郭勒盟,内蒙古锡林郭勒盟,市级
152900,阿拉善盟,内蒙古阿拉善盟,市级
210000,辽宁省,辽宁省,省级
210100,沈阳市,辽宁省沈阳市,市级
210200,大连市,辽宁省大连市,市级
210300,鞍山市,辽宁省鞍山市,市级
210400,抚顺市,辽宁省抚顺市,市级
210500,本溪市,辽宁省本溪市,市级
210600,丹东市,辽宁省丹东市,市级
210700,锦州市,辽宁省锦州市,市级
210800,营口市,辽宁省营口市,市级
210900,阜新市,辽宁省阜新市,市级
211000,辽阳市,辽宁省辽阳市,市级
211100,盘锦市,辽宁省盘锦市,市级
211200,铁岭市,辽宁省铁岭市,市级
211300,朝阳市,辽宁省朝阳市,市级
211400,葫芦岛市,辽宁省葫芦岛市,市级
220000,吉林省,吉林省,省级
220100,长春市,吉林省长春市,市级
220200,吉林市,吉林省吉林市,市级
220300,四平市,吉林省四平市,市级
220400,辽源市,吉林省辽源市,市级
220500,通化市,吉林省通化市,市级
220600,白山市,吉林省白山市,市级
220700,松原市,吉林省松原市,市级
220800,白城市,吉林省白城市,市级
222400,延边朝鲜族自治州,吉林省延边州,市级
230000,黑龙江省,黑龙江省,省级
230100,哈尔滨市,黑龙江省哈尔滨市,市级
230200,齐齐哈尔市,黑龙江省齐齐哈尔市,市级
230300,鸡西市,黑龙江省鸡西市,市级
230400,鹤岗市,黑龙江省鹤岗市,市级
230500,双鸭山市,黑龙江省双鸭山市,市级
230600,大庆市,黑龙江省大庆市,市级
230700,伊春市,黑龙江省伊春市,市级
230800,佳木斯市,黑龙江省佳木斯市,市级
230900,七台河市,黑龙江省七台河市,市级
